"plotID","date","plotsize","spcode","species","cover","elev","tci","streamdist"
"MILL-20-0067","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",4,1161,5.02695179,130
"MILL-24-0016","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,1183,4.84606981,60
"MILL-24-0059","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",4,1313,5.34805107,169.7
"MILL-25-0044","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,1217,6.42335892,30
"MILL-27-0041","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,1292,5.22598886,152.3
"MILL-27-0061","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",5,939.6,3.72890592,92.2
"MILL-27-0110","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",5,830.2,4.43833685,20
"MILL-27-0202","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",5,1192,7.23307896,10
"PITT-01-0001","05-27-1998",1000,"TSUGCAN","Tsuga canadensis",8,970.7,6.1395359,50.99
"PITT-01-0002","06-01-1998",1000,"TSUGCAN","Tsuga canadensis",9,919.5,6.20673513,50
"PITT-01-0003","06-02-1998",1000,"TSUGCAN","Tsuga canadensis",8,908.9,6.57194281,94.34
"PITT-01-0005","06-03-1998",1000,"TSUGCAN","Tsuga canadensis",8,1054,5.7054162,165.5
"PITT-01-0006","06-15-1998",1000,"TSUGCAN","Tsuga canadensis",7,920.4,4.13903999,142.1
"PITT-01-0007","06-16-1998",1000,"TSUGCAN","Tsuga canadensis",8,1145,5.12563515,152.3
"PITT-01-0008","06-17-1998",1000,"TSUGCAN","Tsuga canadensis",9,1234,5.29963684,281.6
"PITT-01-0009","06-18-1998",1000,"TSUGCAN","Tsuga canadensis",3,917.7,4.81174707,136
"PITT-01-0010","06-22-1998",1000,"TSUGCAN","Tsuga canadensis",6,1121,5.36382103,281.6
"PITT-01-0011","06-23-1998",1000,"TSUGCAN","Tsuga canadensis",8,1134,5.10715389,64.03
"PITT-01-0012","06-24-1998",1000,"TSUGCAN","Tsuga canadensis",7,1019,5.61283112,476.3
"PITT-01-0014","07-01-1998",1000,"TSUGCAN","Tsuga canadensis",7,1214,5.45581198,169.7
"PITT-01-0015","07-02-1998",1000,"TSUGCAN","Tsuga canadensis",7,1447,4.44888878,89.44
"PITT-01-0016","07-07-1998",1000,"TSUGCAN","Tsuga canadensis",7,905.8,8.82238483,20
"PITT-01-0017","07-08-1998",1000,"TSUGCAN","Tsuga canadensis",9,1015,6.66399097,255
"PITT-01-0018","07-09-1998",1000,"TSUGCAN","Tsuga canadensis",8,866.8,4.24502897,20
"PITT-01-0019","07-13-1998",1000,"TSUGCAN","Tsuga canadensis",8,1318,4.82635307,198
"PITT-01-0020","07-14-1998",1000,"TSUGCAN","Tsuga canadensis",9,1267,5.57712603,44.72
"PITT-01-0021","07-15-1998",1000,"TSUGCAN","Tsuga canadensis",7,1181,9.44544983,10
"PITT-01-0022","07-20-1998",1000,"TSUGCAN","Tsuga canadensis",8,1487,3.95891809,262.5
"PITT-01-0023","07-22-1998",1000,"TSUGCAN","Tsuga canadensis",8,918.3,4.41510916,76.16
"PITT-01-0024","07-27-1998",1000,"TSUGCAN","Tsuga canadensis",8,988.4,8.58088684,36.06
"PITT-01-0025","07-29-1998",1000,"TSUGCAN","Tsuga canadensis",8,939.3,5.4027791,134.5
"PITT-01-0026","07-30-1998",1000,"TSUGCAN","Tsuga canadensis",8,1206,4.76958799,10
"PITT-01-0027","08-03-1998",1000,"TSUGCAN","Tsuga canadensis",7,980.5,4.8444171,63.25
"PITT-01-0028","08-04-1998",1000,"TSUGCAN","Tsuga canadensis",9,952.8,7.43198395,36.06
"PITT-01-0029","08-05-1998",1000,"TSUGCAN","Tsuga canadensis",8,882.3,5.15354681,50
"PITT-01-0030","08-11-1998",1000,"TSUGCAN","Tsuga canadensis",8,1113,3.4010179,84.85
"PITT-01-0031","08-12-1998",1000,"TSUGCAN","Tsuga canadensis",8,1504,4.49612808,218.4
"PITT-01-0032","08-13-1998",1000,"TSUGCAN","Tsuga canadensis",8,847,6.38500595,50
"PITT-01-0033","08-17-1998",1000,"TSUGCAN","Tsuga canadensis",8,834.5,5.5891118,22.36
"PITT-01-0034","08-18-1998",1000,"TSUGCAN","Tsuga canadensis",8,1313,7.65364122,31.62
"PITT-01-0035","08-19-1998",1000,"TSUGCAN","Tsuga canadensis",6,1310,5.38711596,141.4
"PITT-01-0036","08-22-1998",1000,"TSUGCAN","Tsuga canadensis",9,859.8,6.00051403,89.44
"PITT-01-0037","09-04-1998",1000,"TSUGCAN","Tsuga canadensis",8,1185,4.73946524,264
"PITT-01-0038","09-05-1998",1000,"TSUGCAN","Tsuga canadensis",8,1533,4.52862883,337.3
"PITT-01-0039","09-10-1998",1000,"TSUGCAN","Tsuga canadensis",6,910,5.95543623,14.14
"PITT-01-0040","09-11-1998",1000,"TSUGCAN","Tsuga canadensis",8,859.5,7.11973906,104.4
"PITT-01-0041","09-24-1998",1000,"TSUGCAN","Tsuga canadensis",8,801.3,7.50090694,41.23
"PITT-01-0042","10-06-1998",1000,"TSUGCAN","Tsuga canadensis",8,793.7,10.53,0
"PITT-01-0043","10-13-1998",1000,"TSUGCAN","Tsuga canadensis",7,802.3,6.070086,90.55
"PITT-01-0044","10-19-1998",1000,"TSUGCAN","Tsuga canadensis",7,1072,11.15,10
"PITT-01-0045","10-29-1998",1000,"TSUGCAN","Tsuga canadensis",8,1504,4.37374115,237.1
"UFRL-01-0001","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",2,628.4,3.91855192,120.4
"UFRL-01-0002","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",6,551.7,7.12312412,14.14
"UFRL-01-0003","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",3,683.7,4.15644693,22.36
"UFRL-01-0004","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",6,444.2,4.41574621,28.28
"UFRL-01-0005","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",7,437.7,6.78083277,0
"UFRL-01-0006","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",2,613.5,3.636199,272
"UFRL-01-0007","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",4,595.6,4.46126795,250.8
"UFRL-01-0008","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",6,584,4.80739689,108.2
"UFRL-01-0009","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",2,598.8,4.82904005,210.2
"UFRL-01-0010","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",3,606.2,3.7613709,252.4
"UFRL-01-0013","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",3,941,4.39282799,320.6
"UFRL-01-0015","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",1,883.4,5.40982389,108.2
